year,forecast,model,lower_95,upper_95
2026,6208127.459583184,sarimax,6049418.069913505,6366836.849252863
2027,6315920.614778885,sarimax,6091471.643432068,6540369.586125702
2028,6429344.953363811,sarimax,6154452.226817679,6704237.679909943
2029,6546099.927690141,sarimax,6228681.148350782,6863518.7070295
2030,6665169.60397117,sarimax,6310284.620002264,7020054.587940076
2031,6786105.340571526,sarimax,6397348.318492268,7174862.362650785
2032,6908709.01501549,sarimax,6488803.439218675,7328614.590812306
2033,7032893.135389048,sarimax,6583995.192695414,7481791.078082682
2034,7158619.064808674,sarimax,6682490.895799636,7634747.233817712
2035,7285869.741025986,sarimax,6783986.583614601,7787752.8984373715
