model,split,n,rmse,mae,mape
sarimax,backtest,20,80974.17840289764,60350.0701275294,0.012271711736254699
naive_drift,backtest,20,97438.14732709317,65400.63893636405,0.01320618409892623
random_forest,backtest,20,248936.2352324228,218701.41148769925,0.04356776593665472
polynomial_ridge,backtest,20,360298.78669290245,325820.1137454182,0.0644426854546015
linear,backtest,20,453240.4667639427,418696.9884827308,0.0820632010239097
polynomial_ridge,holdout,4,93558.25524084149,77065.24454885721,0.013253676266347516
linear,holdout,4,264471.2423738319,240161.3210040182,0.03999465172903249
naive_drift,holdout,4,336533.7792219368,316072.71478873235,0.052790266923925425
random_forest,holdout,4,376236.6156246431,330173.6749007981,0.05482397040010478
sarimax,holdout,4,1025400.466322295,954871.1689796227,0.15935340878026594
